ticker,date,weight
CVX,2024-01-05,0.01351351351351351
XOM,2024-01-05,0.01351351351351351
MSFT,2024-01-05,-0.01351351351351351
TSLA,2024-01-05,-0.01351351351351351
CVX,2024-01-12,0.01351351351351351
XOM,2024-01-12,0.01351351351351351
MSFT,2024-01-12,-0.01351351351351351
TSLA,2024-01-12,-0.01351351351351351
CVX,2024-01-19,0.01351351351351351
XOM,2024-01-19,0.01351351351351351
MSFT,2024-01-19,-0.01351351351351351
TSLA,2024-01-19,-0.01351351351351351
CVX,2024-01-26,0.01351351351351351
XOM,2024-01-26,0.01351351351351351
MSFT,2024-01-26,-0.01351351351351351
TSLA,2024-01-26,-0.01351351351351351
CVX,2024-02-02,0.01351351351351351
XOM,2024-02-02,0.01351351351351351
MSFT,2024-02-02,-0.01351351351351351
TSLA,2024-02-02,-0.01351351351351351
CVX,2024-02-09,0.01351351351351351
XOM,2024-02-09,0.01351351351351351
MSFT,2024-02-09,-0.01351351351351351
TSLA,2024-02-09,-0.01351351351351351
CVX,2024-02-16,0.01351351351351351
XOM,2024-02-16,0.01351351351351351
MSFT,2024-02-16,-0.01351351351351351
TSLA,2024-02-16,-0.01351351351351351
NEE,2024-04-05,0.01351351351351351
XOM,2024-04-05,0.01351351351351351
DUK,2024-04-05,0.01351351351351351
JPM,2024-04-05,-0.01351351351351351
NKE,2024-04-05,-0.01351351351351351
KO,2024-04-05,-0.01351351351351351
NEE,2024-04-12,0.01351351351351351
XOM,2024-04-12,0.01351351351351351
DUK,2024-04-12,0.01351351351351351
JPM,2024-04-12,-0.01351351351351351
NKE,2024-04-12,-0.01351351351351351
KO,2024-04-12,-0.01351351351351351
NEE,2024-04-19,0.01351351351351351
XOM,2024-04-19,0.01351351351351351
DUK,2024-04-19,0.01351351351351351
JPM,2024-04-19,-0.01351351351351351
NKE,2024-04-19,-0.01351351351351351
KO,2024-04-19,-0.01351351351351351
NEE,2024-04-26,0.01351351351351351
XOM,2024-04-26,0.01351351351351351
DUK,2024-04-26,0.01351351351351351
JPM,2024-04-26,-0.01351351351351351
NKE,2024-04-26,-0.01351351351351351
KO,2024-04-26,-0.01351351351351351
NEE,2024-05-03,0.01351351351351351
XOM,2024-05-03,0.01351351351351351
DUK,2024-05-03,0.01351351351351351
JPM,2024-05-03,-0.01351351351351351
NKE,2024-05-03,-0.01351351351351351
KO,2024-05-03,-0.01351351351351351
NEE,2024-05-10,0.01351351351351351
XOM,2024-05-10,0.01351351351351351
DUK,2024-05-10,0.01351351351351351
JPM,2024-05-10,-0.01351351351351351
NKE,2024-05-10,-0.01351351351351351
KO,2024-05-10,-0.01351351351351351
NEE,2024-05-17,0.01351351351351351
XOM,2024-05-17,0.01351351351351351
DUK,2024-05-17,0.01351351351351351
JPM,2024-05-17,-0.01351351351351351
NKE,2024-05-17,-0.01351351351351351
KO,2024-05-17,-0.01351351351351351
NKE,2024-06-28,0.01351351351351351
DUK,2024-06-28,0.01351351351351351
CVX,2024-06-28,-0.01351351351351351
AAPL,2024-06-28,-0.01351351351351351
