date,equity,daily_return,drawdown,gross_exposure,net_exposure
2023-12-04,1000000.0,,0.0,0.0,0.0
2023-12-05,1000000.0,0.0,0.0,0.0,0.0
2023-12-06,1000000.0,0.0,0.0,0.0,0.0
2023-12-07,1000000.0,0.0,0.0,0.0,0.0
2023-12-08,1000000.0,0.0,0.0,0.0,0.0
2023-12-11,1000000.0,0.0,0.0,0.0,0.0
2023-12-12,1000000.0,0.0,0.0,0.0,0.0
2023-12-13,1000000.0,0.0,0.0,0.0,0.0
2023-12-14,1000000.0,0.0,0.0,0.0,0.0
2023-12-15,1000000.0,0.0,0.0,0.0,0.0
2023-12-18,1000000.0,0.0,0.0,0.0,0.0
2023-12-19,1000000.0,0.0,0.0,0.0,0.0
2023-12-20,1000000.0,0.0,0.0,0.0,0.0
2023-12-21,1000000.0,0.0,0.0,0.0,0.0
2023-12-22,1000000.0,0.0,0.0,0.0,0.0
2023-12-25,1000000.0,0.0,0.0,0.0,0.0
2023-12-26,1000000.0,0.0,0.0,0.0,0.0
2023-12-27,1000000.0,0.0,0.0,0.0,0.0
2023-12-28,1000000.0,0.0,0.0,0.0,0.0
2023-12-29,1000000.0,0.0,0.0,0.0,0.0
2024-01-01,1000000.0,0.0,0.0,0.0,0.0
2024-01-02,1000000.0,0.0,0.0,0.0,0.0
2024-01-03,1000000.0,0.0,0.0,0.0,0.0
2024-01-04,1000000.0,0.0,0.0,0.0,0.0
2024-01-05,999010.6932266883,-0.0009893067733116913,-0.0009893067733116913,1.0009704462376776,-0.0010686009528072004
2024-01-08,984494.7228589521,-0.014530345336796435,-0.015505277141047874,1.0004505887954918,-0.015820880699750257
2024-01-09,978416.5641457735,-0.006173886534940225,-0.02158343585422647,1.0042773883363008,-0.02212325797504339
2024-01-10,973815.8917277628,-0.004702161212926195,-0.026184108272237237,1.0243477285691596,-0.026943808970684158
2024-01-11,976522.2582911823,0.0027791357549299092,-0.023477741708817657,1.0157218301407644,-0.02408944995884415
2024-01-12,979919.8686660388,0.0034792963969935416,-0.02008013133396115,1.0267908809673838,-0.020530381286534363
2024-01-15,981183.6323757279,0.001289660257026303,-0.018816367624272128,1.0345983712519646,-0.019207575457422885
2024-01-16,989970.4038764125,0.00895527729035733,-0.010029596123587456,1.00674223049534,-0.01015323030098113
2024-01-17,998286.8178936106,0.008400669337824207,-0.0017131821063894313,1.0025345723419004,-0.001729990574404323
