ticker,date,raw_score,z_score,signal,quintile,event_category,event_confidence,sentiment_intensity,volume_ratio
AAPL,2024-08-23,0.37023323523346885,0.0,0.0,3,G,0.3,-0.006054497184420289,1.1666666666666667
ADP,2025-05-08,0.2917419629592014,-0.9999745201092775,-0.761583454847778,3,G,0.3,-0.5320873367331737,1.5
ADP,2024-09-09,0.35020599913279626,0.38474113156015294,0.3668177724246392,3,G,0.3,0.0,1.0
AEP,2024-06-20,0.38020599913279624,0.93656093328843,0.7336381807248133,3,G,0.4,0.0,1.0
AMD,2025-05-19,0.6117752877753904,1.9204649064242119,0.9579555946068903,5,G,1.0,0.11498930035582808,1.0
AMD,2025-03-12,0.5170023934526392,0.886385588597567,0.7096039111867394,4,G,0.4,0.03356179341142974,2.3333333333333335
AMD,2025-10-06,0.5570060672647764,1.0481900093692604,0.7811016751886729,5,G,0.3,0.060311434911059725,8.75
AMD,2025-03-31,0.5177218579501376,0.6330877406825678,0.5601747009697804,4,G,0.5,-0.02525282988614863,2.7857142857142856
AMD,2024-08-19,0.7189877606967889,1.8108974062685597,0.9479229619283598,5,G,1.0,0.45468435692594966,1.6666666666666667
AMZN,2024-04-30,0.45797841895263314,-0.15364539475187813,-0.15244767242470722,3,G,0.4,-0.0886650499611114,2.6666666666666665
AMZN,2024-08-01,0.49758269333567884,0.15381919510854875,0.15261742911070453,3,G,0.4,-0.1580336631706921,7.0
AMZN,2024-02-01,0.43417482933890084,-0.35673389140399336,-0.3423339195084341,2,G,0.4,-0.023433170014404803,2.3333333333333335
AMZN,2025-02-06,0.42241386865062724,-0.4370333928488865,-0.411182412651154,2,G,0.3,-0.1924708175905738,1.6666666666666667
AMZN,2024-10-31,0.41067938924781344,-0.5168108067142669,-0.4752348369031817,2,G,0.3,0.008899990241746711,1.4
AVGO,2024-07-12,0.3837251317961678,-0.7243582308262008,-0.6196016351666925,2,G,0.4,-0.46988096232100574,1.7
AVGO,2025-07-11,0.5368066459803179,0.6700992769860623,0.5850451833443395,4,G,0.4,-0.08449499382344912,8.0
AVGO,2025-01-10,0.5085859220241696,0.38862981849639233,0.3701784053293329,4,G,0.4,0.41986122555209915,1.4
AVGO,2025-09-29,0.5098675763229897,0.38806664033616134,0.3696922993376804,4,G,0.4,-0.0053105221650094365,4.5
