ticker
AAPL
ABNB
ADP
AEP
AMD
AMGN
AMZN
AVGO
BA
BIIB
BKNG
CEG
COIN
COST
CTAS
EXC
GILD
GOOGL
HON
ILMN
INTC
KDP
LIN
LULU
MAR
MDLZ
META
MNST
MRNA
MRVL
MSFT
NKE
NVDA
NXPI
ODFL
PCAR
PYPL
QCOM
REGN
ROST
SBUX
TSLA
VRTX
WBD
XEL
